Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;BFS-Nr;Kantonskürzel;E;N;Sprache
Aeugst am Albis;8914;0;Aeugst am Albis;1;ZH;8.488;47.267;de
Aeugst am Albis;8914;0;Aeugst am Albis;1;ZH;8.488;47.267;de
Aeugstertal;8914;2;Aeugst am Albis;1;ZH;8.494;47.283;de
Zwillikon;8909;0;Affoltern am Albis;2;ZH;8.431;47.288;de
Affoltern am Albis;8910;0;Affoltern am Albis;2;ZH;8.449;47.279;de
Bonstetten;8906;0;Bonstetten;3;ZH;8.468;47.316;de
Hausen am Albis;8915;0;Hausen am Albis;4;ZH;8.535;47.242;de
Ebertswil;8925;0;Hausen am Albis;4;ZH;8.55;47.226;de
Hedingen;8908;0;Hedingen;5;ZH;8.45;47.298;de
Kappel am Albis;8926;0;Kappel am Albis;6;ZH;8.525;47.227;de
Hauptikon;8926;2;Kappel am Albis;6;ZH;8.495;47.23;de
Uerzlikon;8926;3;Kappel am Albis;6;ZH;8.499;47.222;de
Knonau;8934;0;Knonau;7;ZH;8.461;47.224;de
Maschwanden;8933;0;Maschwanden;8;ZH;8.426;47.235;de
Mettmenstetten;8932;0;Mettmenstetten;9;ZH;8.464;47.243;de
Obfelden;8912;0;Obfelden;10;ZH;8.423;47.264;de
Ottenbach;8913;0;Ottenbach;11;ZH;8.404;47.283;de
Rifferswil;8911;0;Rifferswil;12;ZH;8.497;47.243;de
Stallikon;8143;0;Stallikon;13;ZH;8.491;47.326;de
Aeugstertal;8914;2;Aeugst am Albis;1;ZH;8.494;47.283;de
Zwillikon;8909;0;Affoltern am Albis;2;ZH;8.431;47.288;de
Affoltern am Albis;8910;0;Affoltern am Albis;2;ZH;8.449;47.279;de
Bonstetten;8906;0;Bonstetten;3;ZH;8.468;47.316;de
Hausen am Albis;8915;0;Hausen am Albis;4;ZH;8.535;47.242;de
Ebertswil;8925;0;Hausen am Albis;4;ZH;8.55;47.226;de
Hedingen;8908;0;Hedingen;5;ZH;8.45;47.298;de
Kappel am Albis;8926;0;Kappel am Albis;6;ZH;8.525;47.227;de
Hauptikon;8926;2;Kappel am Albis;6;ZH;8.495;47.23;de
Uerzlikon;8926;3;Kappel am Albis;6;ZH;8.499;47.222;de
Knonau;8934;0;Knonau;7;ZH;8.461;47.224;de
Maschwanden;8933;0;Maschwanden;8;ZH;8.426;47.235;de
Mettmenstetten;8932;0;Mettmenstetten;9;ZH;8.464;47.243;de
Obfelden;8912;0;Obfelden;10;ZH;8.423;47.264;de
Ottenbach;8913;0;Ottenbach;11;ZH;8.404;47.283;de
Rifferswil;8911;0;Rifferswil;12;ZH;8.497;47.243;de
Stallikon;8143;0;Stallikon;13;ZH;8.491;47.326;de
Aeugstertal;8914;2;Aeugst am Albis;1;ZH;8.494;47.283;de
Zwillikon;8909;0;Affoltern am Albis;2;ZH;8.431;47.288;de
Affoltern am Albis;8910;0;Affoltern am Albis;2;ZH;8.449;47.279;de
Bonstetten;8906;0;Bonstetten;3;ZH;8.468;47.316;de
Hausen am Albis;8915;0;Hausen am Albis;4;ZH;8.535;47.242;de
Ebertswil;8925;0;Hausen am Albis;4;ZH;8.55;47.226;de
Hedingen;8908;0;Hedingen;5;ZH;8.45;47.298;de
Kappel am Albis;8926;0;Kappel am Albis;6;ZH;8.525;47.227;de
Hauptikon;8926;2;Kappel am Albis;6;ZH;8.495;47.23;de
Uerzlikon;8926;3;Kappel am Albis;6;ZH;8.499;47.222;de
Knonau;8934;0;Knonau;7;ZH;8.461;47.224;de
Maschwanden;8933;0;Maschwanden;8;ZH;8.426;47.235;de
Mettmenstetten;8932;0;Mettmenstetten;9;ZH;8.464;47.243;de
Obfelden;8912;0;Obfelden;10;ZH;8.423;47.264;de
Ottenbach;8913;0;Ottenbach;11;ZH;8.404;47.283;de
Rifferswil;8911;0;Rifferswil;12;ZH;8.497;47.243;de
Stallikon;8143;0;Stallikon;13;ZH;8.491;47.326;de
Aeugstertal;8914;2;Aeugst am Albis;1;ZH;8.494;47.283;de
Zwillikon;8909;0;Affoltern am Albis;2;ZH;8.431;47.288;de
Affoltern am Albis;8910;0;Affoltern am Albis;2;ZH;8.449;47.279;de
Bonstetten;8906;0;Bonstetten;3;ZH;8.468;47.316;de
Hausen am Albis;8915;0;Hausen am Albis;4;ZH;8.535;47.242;de
Ebertswil;8925;0;Hausen am Albis;4;ZH;8.55;47.226;de
Hedingen;8908;0;Hedingen;5;ZH;8.45;47.298;de
Kappel am Albis;8926;0;Kappel am Albis;6;ZH;8.525;47.227;de
Hauptikon;8926;2;Kappel am Albis;6;ZH;8.495;47.23;de
Uerzlikon;8926;3;Kappel am Albis;6;ZH;8.499;47.222;de
Knonau;8934;0;Knonau;7;ZH;8.461;47.224;de
Maschwanden;8933;0;Maschwanden;8;ZH;8.426;47.235;de
Mettmenstetten;8932;0;Mettmenstetten;9;ZH;8.464;47.243;de
Obfelden;8912;0;Obfelden;10;ZH;8.423;47.264;de
Ottenbach;8913;0;Ottenbach;11;ZH;8.404;47.283;de
Rifferswil;8911;0;Rifferswil;12;ZH;8.497;47.243;de
Stallikon;8143;0;Stallikon;13;ZH;8.491;47.326;de
Aeugstertal;8914;2;Aeugst am Albis;1;ZH;8.494;47.283;de
Zwillikon;8909;0;Affoltern am Albis;2;ZH;8.431;47.288;de
Affoltern am Albis;8910;0;Affoltern am Albis;2;ZH;8.449;47.279;de
Bonstetten;8906;0;Bonstetten;3;ZH;8.468;47.316;de
Hausen am Albis;8915;0;Hausen am Albis;4;ZH;8.535;47.242;de
Ebertswil;8925;0;Hausen am Albis;4;ZH;8.55;47.226;de
Hedingen;8908;0;Hedingen;5;ZH;8.45;47.298;de
Kappel am Albis;8926;0;Kappel am Albis;6;ZH;8.525;47.227;de
Hauptikon;8926;2;Kappel am Albis;6;ZH;8.495;47.23;de
Uerzlikon;8926;3;Kappel am Albis;6;ZH;8.499;47.222;de
Knonau;8934;0;Knonau;7;ZH;8.461;47.224;de
Maschwanden;8933;0;Maschwanden;8;ZH;8.426;47.235;de
Mettmenstetten;8932;0;Mettmenstetten;9;ZH;8.464;47.243;de
Obfelden;8912;0;Obfelden;10;ZH;8.423;47.264;de
Ottenbach;8913;0;Ottenbach;11;ZH;8.404;47.283;de
Affoltern am Albis;8910;0;Affoltern am Albis;2;ZH;8.449;47.279;de
Bonstetten;8906;0;Bonstetten;3;ZH;8.468;47.316;de
Hausen am Albis;8915;0;Hausen am Albis;4;ZH;8.535;47.242;de
Ebertswil;8925;0;Hausen am Albis;4;ZH;8.55;47.226;de
Hedingen;8908;0;Hedingen;5;ZH;8.45;47.298;de
Kappel am Albis;8926;0;Kappel am Albis;6;ZH;8.525;47.227;de
Hauptikon;8926;2;Kappel am Albis;6;ZH;8.495;47.23;de
Uerzlikon;8926;3;Kappel am Albis;6;ZH;8.499;47.222;de
Knonau;8934;0;Knonau;7;ZH;8.461;47.224;de
Maschwanden;8933;0;Maschwanden;8;ZH;8.426;47.235;de
Mettmenstetten;8932;0;Mettmenstetten;9;ZH;8.464;47.243;de
Obfelden;8912;0;Obfelden;10;ZH;8.423;47.264;de
Ottenbach;8913;0;Ottenbach;11;ZH;8.404;47.283;de
Rifferswil;8911;0;Rifferswil;12;ZH;8.497;47.243;de
Stallikon;8143;0;Stallikon;13;ZH;8.491;47.326;de
Aeugst am Albis;8914;0;Aeugst am Albis;1;ZH;8.488;47.267;de
Aeugst am Albis;8914;0;Aeugst am Albis;1;ZH;8.488;47.267;de
Aeugstertal;8914;2;Aeugst am Albis;1;ZH;8.494;47.283;de
Zwillikon;8909;0;Affoltern am Albis;2;ZH;8.431;47.288;de
Affoltern am Albis;8910;0;Affoltern am Albis;2;ZH;8.449;47.279;de
Bonstetten;8906;0;Bonstetten;3;ZH;8.468;47.316;de
Hausen am Albis;8915;0;Hausen am Albis;4;ZH;8.535;47.242;de
Ebertswil;8925;0;Hausen am Albis;4;ZH;8.55;47.226;de
Hedingen;8908;0;Hedingen;5;ZH;8.45;47.298;de
Kappel am Albis;8926;0;Kappel am Albis;6;ZH;8.525;47.227;de
Hauptikon;8926;2;Kappel am Albis;6;ZH;8.495;47.23;de
Uerzlikon;8926;3;Kappel am Albis;6;ZH;8.499;47.222;de
Knonau;8934;0;Knonau;7;ZH;8.461;47.224;de
Maschwanden;8933;0;Maschwanden;8;ZH;8.426;47.235;de
Mettmenstetten;8932;0;Mettmenstetten;9;ZH;8.464;47.243;de
Obfelden;8912;0;Obfelden;10;ZH;8.423;47.264;de
Ottenbach;8913;0;Ottenbach;11;ZH;8.404;47.283;de
Rifferswil;8911;0;Rifferswil;12;ZH;8.497;47.243;de
Stallikon;8143;0;Stallikon;13;ZH;8.491;47.326;de
Aeugstertal;8914;2;Aeugst am Albis;1;ZH;8.494;47.283;de
Zwillikon;8909;0;Affoltern am Albis;2;ZH;8.431;47.288;de
Affoltern am Albis;8910;0;Affoltern am Albis;2;ZH;8.449;47.279;de
Bonstetten;8906;0;Bonstetten;3;ZH;8.468;47.316;de
Hausen am Albis;8915;0;Hausen am Albis;4;ZH;8.535;47.242;de
Ebertswil;8925;0;Hausen am Albis;4;ZH;8.55;47.226;de
Hedingen;8908;0;Hedingen;5;ZH;8.45;47.298;de
Kappel am Albis;8926;0;Kappel am Albis;6;ZH;8.525;47.227;de
Hauptikon;8926;2;Kappel am Albis;6;ZH;8.495;47.23;de
Uerzlikon;8926;3;Kappel am Albis;6;ZH;8.499;47.222;de
Knonau;8934;0;Knonau;7;ZH;8.461;47.224;de
Maschwanden;8933;0;Maschwanden;8;ZH;8.426;47.235;de
Mettmenstetten;8932;0;Mettmenstetten;9;ZH;8.464;47.243;de
Obfelden;8912;0;Obfelden;10;ZH;8.423;47.264;de
Ottenbach;8913;0;Ottenbach;11;ZH;8.404;47.283;de
Rifferswil;8911;0;Rifferswil;12;ZH;8.497;47.243;de
Stallikon;8143;0;Stallikon;13;ZH;8.491;47.326;de
Aeugstertal;8914;2;Aeugst am Albis;1;ZH;8.494;47.283;de
Zwillikon;8909;0;Affoltern am Albis;2;ZH;8.431;47.288;de
Affoltern am Albis;8910;0;Affoltern am Albis;2;ZH;8.449;47.279;de
Bonstetten;8906;0;Bonstetten;3;ZH;8.468;47.316;de
Hausen am Albis;8915;0;Hausen am Albis;4;ZH;8.535;47.242;de
Ebertswil;8925;0;Hausen am Albis;4;ZH;8.55;47.226;de
Hedingen;8908;0;Hedingen;5;ZH;8.45;47.298;de
Kappel am Albis;8926;0;Kappel am Albis;6;ZH;8.525;47.227;de
Hauptikon;8926;2;Kappel am Albis;6;ZH;8.495;47.23;de
Uerzlikon;8926;3;Kappel am Albis;6;ZH;8.499;47.222;de
Knonau;8934;0;Knonau;7;ZH;8.461;47.224;de
Maschwanden;8933;0;Maschwanden;8;ZH;8.426;47.235;de
Mettmenstetten;8932;0;Mettmenstetten;9;ZH;8.464;47.243;de
Obfelden;8912;0;Obfelden;10;ZH;8.423;47.264;de
Ottenbach;8913;0;Ottenbach;11;ZH;8.404;47.283;de
Rifferswil;8911;0;Rifferswil;12;ZH;8.497;47.243;de
Stallikon;8143;0;Stallikon;13;ZH;8.491;47.326;de
Aeugstertal;8914;2;Aeugst am Albis;1;ZH;8.494;47.283;de
Zwillikon;8909;0;Affoltern am Albis;2;ZH;8.431;47.288;de
Affoltern am Albis;8910;0;Affoltern am Albis;2;ZH;8.449;47.279;de
Bonstetten;8906;0;Bonstetten;3;ZH;8.468;47.316;de
Hausen am Albis;8915;0;Hausen am Albis;4;ZH;8.535;47.242;de
Ebertswil;8925;0;Hausen am Albis;4;ZH;8.55;47.226;de
Hedingen;8908;0;Hedingen;5;ZH;8.45;47.298;de
Kappel am Albis;8926;0;Kappel am Albis;6;ZH;8.525;47.227;de
Hauptikon;8926;2;Kappel am Albis;6;ZH;8.495;47.23;de
Uerzlikon;8926;3;Kappel am Albis;6;ZH;8.499;47.222;de
Knonau;8934;0;Knonau;7;ZH;8.461;47.224;de
Maschwanden;8933;0;Maschwanden;8;ZH;8.426;47.235;de
Mettmenstetten;8932;0;Mettmenstetten;9;ZH;8.464;47.243;de
Obfelden;8912;0;Obfelden;10;ZH;8.423;47.264;de
Ottenbach;8913;0;Ottenbach;11;ZH;8.404;47.283;de
Rifferswil;8911;0;Rifferswil;12;ZH;8.497;47.243;de
Stallikon;8143;0;Stallikon;13;ZH;8.491;47.326;de
Aeugstertal;8914;2;Aeugst am Albis;1;ZH;8.494;47.283;de
Zwillikon;8909;0;Affoltern am Albis;2;ZH;8.431;47.288;de
Affoltern am Albis;8910;0;Affoltern am Albis;2;ZH;8.449;47.279;de
Bonstetten;8906;0;Bonstetten;3;ZH;8.468;47.316;de
Hausen am Albis;8915;0;Hausen am Albis;4;ZH;8.535;47.242;de
Ebertswil;8925;0;Hausen am Albis;4;ZH;8.55;47.226;de
Hedingen;8908;0;Hedingen;5;ZH;8.45;47.298;de
Kappel am Albis;8926;0;Kappel am Albis;6;ZH;8.525;47.227;de
Hauptikon;8926;2;Kappel am Albis;6;ZH;8.495;47.23;de
Uerzlikon;8926;3;Kappel am Albis;6;ZH;8.499;47.222;de
Knonau;8934;0;Knonau;7;ZH;8.461;47.224;de
Maschwanden;8933;0;Maschwanden;8;ZH;8.426;47.235;de
Mettmenstetten;8932;0;Mettmenstetten;9;ZH;8.464;47.243;de
Obfelden;8912;0;Obfelden;10;ZH;8.423;47.264;de
Ottenbach;8913;0;Ottenbach;11;ZH;8.404;47.283;de
Affoltern am Albis;8910;0;Affoltern am Albis;2;ZH;8.449;47.279;de
Bonstetten;8906;0;Bonstetten;3;ZH;8.468;47.316;de
Hausen am Albis;8915;0;Hausen am Albis;4;ZH;8.535;47.242;de
Ebertswil;8925;0;Hausen am Albis;4;ZH;8.55;47.226;de
Hedingen;8908;0;Hedingen;5;ZH;8.45;47.298;de
Kappel am Albis;8926;0;Kappel am Albis;6;ZH;8.525;47.227;de
Hauptikon;8926;2;Kappel am Albis;6;ZH;8.495;47.23;de
Uerzlikon;8926;3;Kappel am Albis;6;ZH;8.499;47.222;de
Knonau;8934;0;Knonau;7;ZH;8.461;47.224;de
Maschwanden;8933;0;Maschwanden;8;ZH;8.426;47.235;de
Mettmenstetten;8932;0;Mettmenstetten;9;ZH;8.464;47.243;de
Obfelden;8912;0;Obfelden;10;ZH;8.423;47.264;de
Ottenbach;8913;0;Ottenbach;11;ZH;8.404;47.283;de
Rifferswil;8911;0;Rifferswil;12;ZH;8.497;47.243;de
Stallikon;8143;0;Stallikon;13;ZH;8.491;47.326;de
Aeugst am Albis;8914;0;Aeugst am Albis;1;ZH;8.488;47.267;de
Aeugst am Albis;8914;0;Aeugst am Albis;1;ZH;8.488;47.267;de
Aeugstertal;8914;2;Aeugst am Albis;1;ZH;8.494;47.283;de
Zwillikon;8909;0;Affoltern am Albis;2;ZH;8.431;47.288;de
Affoltern am Albis;8910;0;Affoltern am Albis;2;ZH;8.449;47.279;de
Bonstetten;8906;0;Bonstetten;3;ZH;8.468;47.316;de
Hausen am Albis;8915;0;Hausen am Albis;4;ZH;8.535;47.242;de
Ebertswil;8925;0;Hausen am Albis;4;ZH;8.55;47.226;de
Hedingen;8908;0;Hedingen;5;ZH;8.45;47.298;de
Kappel am Albis;8926;0;Kappel am Albis;6;ZH;8.525;47.227;de
Hauptikon;8926;2;Kappel am Albis;6;ZH;8.495;47.23;de
Uerzlikon;8926;3;Kappel am Albis;6;ZH;8.499;47.222;de
Knonau;8934;0;Knonau;7;ZH;8.461;47.224;de
Maschwanden;8933;0;Maschwanden;8;ZH;8.426;47.235;de
Mettmenstetten;8932;0;Mettmenstetten;9;ZH;8.464;47.243;de
Obfelden;8912;0;Obfelden;10;ZH;8.423;47.264;de
Ottenbach;8913;0;Ottenbach;11;ZH;8.404;47.283;de
Rifferswil;8911;0;Rifferswil;12;ZH;8.497;47.243;de
Stallikon;8143;0;Stallikon;13;ZH;8.491;47.326;de
Aeugstertal;8914;2;Aeugst am Albis;1;ZH;8.494;47.283;de
Zwillikon;8909;0;Affoltern am Albis;2;ZH;8.431;47.288;de
Affoltern am Albis;8910;0;Affoltern am Albis;2;ZH;8.449;47.279;de
Bonstetten;8906;0;Bonstetten;3;ZH;8.468;47.316;de
Hausen am Albis;8915;0;Hausen am Albis;4;ZH;8.535;47.242;de
Ebertswil;8925;0;Hausen am Albis;4;ZH;8.55;47.226;de
Hedingen;8908;0;Hedingen;5;ZH;8.45;47.298;de
Kappel am Albis;8926;0;Kappel am Albis;6;ZH;8.525;47.227;de
Hauptikon;8926;2;Kappel am Albis;6;ZH;8.495;47.23;de
Uerzlikon;8926;3;Kappel am Albis;6;ZH;8.499;47.222;de
Knonau;8934;0;Knonau;7;ZH;8.461;47.224;de
Maschwanden;8933;0;Maschwanden;8;ZH;8.426;47.235;de
Mettmenstetten;8932;0;Mettmenstetten;9;ZH;8.464;47.243;de
Obfelden;8912;0;Obfelden;10;ZH;8.423;47.264;de
Ottenbach;8913;0;Ottenbach;11;ZH;8.404;47.283;de
Rifferswil;8911;0;Rifferswil;12;ZH;8.497;47.243;de
Stallikon;8143;0;Stallikon;13;ZH;8.491;47.326;de
Aeugstertal;8914;2;Aeugst am Albis;1;ZH;8.494;47.283;de
Zwillikon;8909;0;Affoltern am Albis;2;ZH;8.431;47.288;de
Affoltern am Albis;8910;0;Affoltern am Albis;2;ZH;8.449;47.279;de
Bonstetten;8906;0;Bonstetten;3;ZH;8.468;47.316;de
Hausen am Albis;8915;0;Hausen am Albis;4;ZH;8.535;47.242;de
Ebertswil;8925;0;Hausen am Albis;4;ZH;8.55;47.226;de
Hedingen;8908;0;Hedingen;5;ZH;8.45;47.298;de
Kappel am Albis;8926;0;Kappel am Albis;6;ZH;8.525;47.227;de
Hauptikon;8926;2;Kappel am Albis;6;ZH;8.495;47.23;de
Uerzlikon;8926;3;Kappel am Albis;6;ZH;8.499;47.222;de
Knonau;8934;0;Knonau;7;ZH;8.461;47.224;de
Maschwanden;8933;0;Maschwanden;8;ZH;8.426;47.235;de
Mettmenstetten;8932;0;Mettmenstetten;9;ZH;8.464;47.243;de
Obfelden;8912;0;Obfelden;10;ZH;8.423;47.264;de
Ottenbach;8913;0;Ottenbach;11;ZH;8.404;47.283;de
Rifferswil;8911;0;Rifferswil;12;ZH;8.497;47.243;de
Stallikon;8143;0;Stallikon;13;ZH;8.491;47.326;de
Aeugstertal;8914;2;Aeugst am Albis;1;ZH;8.494;47.283;de
Zwillikon;8909;0;Affoltern am Albis;2;ZH;8.431;47.288;de
Affoltern am Albis;8910;0;Affoltern am Albis;2;ZH;8.449;47.279;de
Bonstetten;8906;0;Bonstetten;3;ZH;8.468;47.316;de
Hausen am Albis;8915;0;Hausen am Albis;4;ZH;8.535;47.242;de
Ebertswil;8925;0;Hausen am Albis;4;ZH;8.55;47.226;de
Hedingen;8908;0;Hedingen;5;ZH;8.45;47.298;de
Kappel am Albis;8926;0;Kappel am Albis;6;ZH;8.525;47.227;de
Hauptikon;8926;2;Kappel am Albis;6;ZH;8.495;47.23;de
Uerzlikon;8926;3;Kappel am Albis;6;ZH;8.499;47.222;de
Knonau;8934;0;Knonau;7;ZH;8.461;47.224;de
Maschwanden;8933;0;Maschwanden;8;ZH;8.426;47.235;de
Mettmenstetten;8932;0;Mettmenstetten;9;ZH;8.464;47.243;de
Obfelden;8912;0;Obfelden;10;ZH;8.423;47.264;de
Ottenbach;8913;0;Ottenbach;11;ZH;8.404;47.283;de
Rifferswil;8911;0;Rifferswil;12;ZH;8.497;47.243;de
Stallikon;8143;0;Stallikon;13;ZH;8.491;47.326;de
Aeugstertal;8914;2;Aeugst am Albis;1;ZH;8.494;47.283;de
Zwillikon;8909;0;Affoltern am Albis;2;ZH;8.431;47.288;de
Affoltern am Albis;8910;0;Affoltern am Albis;2;ZH;8.449;47.279;de
Bonstetten;8906;0;Bonstetten;3;ZH;8.468;47.316;de
Hausen am Albis;8915;0;Hausen am Albis;4;ZH;8.535;47.242;de
Ebertswil;8925;0;Hausen am Albis;4;ZH;8.55;47.226;de
Hedingen;8908;0;Hedingen;5;ZH;8.45;47.298;de
Kappel am Albis;8926;0;Kappel am Albis;6;ZH;8.525;47.227;de
Hauptikon;8926;2;Kappel am Albis;6;ZH;8.495;47.23;de
Uerzlikon;8926;3;Kappel am Albis;6;ZH;8.499;47.222;de
Knonau;8934;0;Knonau;7;ZH;8.461;47.224;de
Maschwanden;8933;0;Maschwanden;8;ZH;8.426;47.235;de
Mettmenstetten;8932;0;Mettmenstetten;9;ZH;8.464;47.243;de
Obfelden;8912;0;Obfelden;10;ZH;8.423;47.264;de
Ottenbach;8913;0;Ottenbach;11;ZH;8.404;47.283;de
Affoltern am Albis;8910;0;Affoltern am Albis;2;ZH;8.449;47.279;de
Bonstetten;8906;0;Bonstetten;3;ZH;8.468;47.316;de
Hausen am Albis;8915;0;Hausen am Albis;4;ZH;8.535;47.242;de
Ebertswil;8925;0;Hausen am Albis;4;ZH;8.55;47.226;de
Hedingen;8908;0;Hedingen;5;ZH;8.45;47.298;de
Kappel am Albis;8926;0;Kappel am Albis;6;ZH;8.525;47.227;de
Hauptikon;8926;2;Kappel am Albis;6;ZH;8.495;47.23;de
Uerzlikon;8926;3;Kappel am Albis;6;ZH;8.499;47.222;de
Knonau;8934;0;Knonau;7;ZH;8.461;47.224;de
Maschwanden;8933;0;Maschwanden;8;ZH;8.426;47.235;de
Mettmenstetten;8932;0;Mettmenstetten;9;ZH;8.464;47.243;de
Obfelden;8912;0;Obfelden;10;ZH;8.423;47.264;de
Ottenbach;8913;0;Ottenbach;11;ZH;8.404;47.283;de
Rifferswil;8911;0;Rifferswil;12;ZH;8.497;47.243;de
Stallikon;8143;0;Stallikon;13;ZH;8.491;47.326;de
Aeugst am Albis;8914;0;Aeugst am Albis;1;ZH;8.488;47.267;de
Aeugst am Albis;8914;0;Aeugst am Albis;1;ZH;8.488;47.267;de
Aeugstertal;8914;2;Aeugst am Albis;1;ZH;8.494;47.283;de
Zwillikon;8909;0;Affoltern am Albis;2;ZH;8.431;47.288;de
Affoltern am Albis;8910;0;Affoltern am Albis;2;ZH;8.449;47.279;de
Bonstetten;8906;0;Bonstetten;3;ZH;8.468;47.316;de
Hausen am Albis;8915;0;Hausen am Albis;4;ZH;8.535;47.242;de
Ebertswil;8925;0;Hausen am Albis;4;ZH;8.55;47.226;de
Hedingen;8908;0;Hedingen;5;ZH;8.45;47.298;de
Kappel am Albis;8926;0;Kappel am Albis;6;ZH;8.525;47.227;de
Hauptikon;8926;2;Kappel am Albis;6;ZH;8.495;47.23;de
Uerzlikon;8926;3;Kappel am Albis;6;ZH;8.499;47.222;de
Knonau;8934;0;Knonau;7;ZH;8.461;47.224;de
Maschwanden;8933;0;Maschwanden;8;ZH;8.426;47.235;de
Mettmenstetten;8932;0;Mettmenstetten;9;ZH;8.464;47.243;de
Obfelden;8912;0;Obfelden;10;ZH;8.423;47.264;de
Ottenbach;8913;0;Ottenbach;11;ZH;8.404;47.283;de
Rifferswil;8911;0;Rifferswil;12;ZH;8.497;47.243;de
Stallikon;8143;0;Stallikon;13;ZH;8.491;47.326;de
Aeugstertal;8914;2;Aeugst am Albis;1;ZH;8.494;47.283;de
Zwillikon;8909;0;Affoltern am Albis;2;ZH;8.431;47.288;de
Affoltern am Albis;8910;0;Affoltern am Albis;2;ZH;8.449;47.279;de
Bonstetten;8906;0;Bonstetten;3;ZH;8.468;47.316;de
Hausen am Albis;8915;0;Hausen am Albis;4;ZH;8.535;47.242;de
Ebertswil;8925;0;Hausen am Albis;4;ZH;8.55;47.226;de
Hedingen;8908;0;Hedingen;5;ZH;8.45;47.298;de
Kappel am Albis;8926;0;Kappel am Albis;6;ZH;8.525;47.227;de
Hauptikon;8926;2;Kappel am Albis;6;ZH;8.495;47.23;de
Uerzlikon;8926;3;Kappel am Albis;6;ZH;8.499;47.222;de
Knonau;8934;0;Knonau;7;ZH;8.461;47.224;de
Maschwanden;8933;0;Maschwanden;8;ZH;8.426;47.235;de
Mettmenstetten;8932;0;Mettmenstetten;9;ZH;8.464;47.243;de
Obfelden;8912;0;Obfelden;10;ZH;8.423;47.264;de
Ottenbach;8913;0;Ottenbach;11;ZH;8.404;47.283;de
Rifferswil;8911;0;Rifferswil;12;ZH;8.497;47.243;de
Stallikon;8143;0;Stallikon;13;ZH;8.491;47.326;de
Aeugstertal;8914;2;Aeugst am Albis;1;ZH;8.494;47.283;de
Zwillikon;8909;0;Affoltern am Albis;2;ZH;8.431;47.288;de
Affoltern am Albis;8910;0;Affoltern am Albis;2;ZH;8.449;47.279;de
Bonstetten;8906;0;Bonstetten;3;ZH;8.468;47.316;de
Hausen am Albis;8915;0;Hausen am Albis;4;ZH;8.535;47.242;de
Ebertswil;8925;0;Hausen am Albis;4;ZH;8.55;47.226;de
Hedingen;8908;0;Hedingen;5;ZH;8.45;47.298;de
Kappel am Albis;8926;0;Kappel am Albis;6;ZH;8.525;47.227;de
Hauptikon;8926;2;Kappel am Albis;6;ZH;8.495;47.23;de
Uerzlikon;8926;3;Kappel am Albis;6;ZH;8.499;47.222;de
Knonau;8934;0;Knonau;7;ZH;8.461;47.224;de
Maschwanden;8933;0;Maschwanden;8;ZH;8.426;47.235;de
Mettmenstetten;8932;0;Mettmenstetten;9;ZH;8.464;47.243;de
Obfelden;8912;0;Obfelden;10;ZH;8.423;47.264;de
Ottenbach;8913;0;Ottenbach;11;ZH;8.404;47.283;de
Rifferswil;8911;0;Rifferswil;12;ZH;8.497;47.243;de
Stallikon;8143;0;Stallikon;13;ZH;8.491;47.326;de
Aeugstertal;8914;2;Aeugst am Albis;1;ZH;8.494;47.283;de
Zwillikon;8909;0;Affoltern am Albis;2;ZH;8.431;47.288;de
Affoltern am Albis;8910;0;Affoltern am Albis;2;ZH;8.449;47.279;de
Bonstetten;8906;0;Bonstetten;3;ZH;8.468;47.316;de
Hausen am Albis;8915;0;Hausen am Albis;4;ZH;8.535;47.242;de
Ebertswil;8925;0;Hausen am Albis;4;ZH;8.55;47.226;de
Hedingen;8908;0;Hedingen;5;ZH;8.45;47.298;de
Kappel am Albis;8926;0;Kappel am Albis;6;ZH;8.525;47.227;de
Hauptikon;8926;2;Kappel am Albis;6;ZH;8.495;47.23;de
Uerzlikon;8926;3;Kappel am Albis;6;ZH;8.499;47.222;de
Knonau;8934;0;Knonau;7;ZH;8.461;47.224;de
Maschwanden;8933;0;Maschwanden;8;ZH;8.426;47.235;de
Mettmenstetten;8932;0;Mettmenstetten;9;ZH;8.464;47.243;de
Obfelden;8912;0;Obfelden;10;ZH;8.423;47.264;de
Ottenbach;8913;0;Ottenbach;11;ZH;8.404;47.283;de
Rifferswil;8911;0;Rifferswil;12;ZH;8.497;47.243;de
Stallikon;8143;0;Stallikon;13;ZH;8.491;47.326;de
Aeugstertal;8914;2;Aeugst am Albis;1;ZH;8.494;47.283;de
Zwillikon;8909;0;Affoltern am Albis;2;ZH;8.431;47.288;de
Affoltern am Albis;8910;0;Affoltern am Albis;2;ZH;8.449;47.279;de
Bonstetten;8906;0;Bonstetten;3;ZH;8.468;47.316;de
Hausen am Albis;8915;0;Hausen am Albis;4;ZH;8.535;47.242;de
Ebertswil;8925;0;Hausen am Albis;4;ZH;8.55;47.226;de
Hedingen;8908;0;Hedingen;5;ZH;8.45;47.298;de
Kappel am Albis;8926;0;Kappel am Albis;6;ZH;8.525;47.227;de
Hauptikon;8926;2;Kappel am Albis;6;ZH;8.495;47.23;de
Uerzlikon;8926;3;Kappel am Albis;6;ZH;8.499;47.222;de
Knonau;8934;0;Knonau;7;ZH;8.461;47.224;de
Maschwanden;8933;0;Maschwanden;8;ZH;8.426;47.235;de
